Site,datetime,GPP_daily,ER_daily,K600_daily
HOGDN,2019-04-28 00:00:00,0.078140655,-4.978822053,5.22900968
HOGDN,2019-04-29 00:00:00,-0.069681077,-4.079609831,5.047962721
HOGDN,2019-04-30 00:00:00,0.045955323,-5.344836512,6.632201749
HOGDN,2019-05-02 00:00:00,0.166119853,-4.317677006,5.061262191
HOGDN,2019-05-03 00:00:00,0.227963902,-5.417764697,4.696673552
HOGDN,2019-05-04 00:00:00,0.033866087,-6.42301509,5.175914179
HOGDN,2019-05-06 00:00:00,-0.010282415,-2.614842596,1.595775818
HOGDN,2019-05-07 00:00:00,-0.06004367,-3.119823292,2.803546684
HOGDN,2019-05-29 00:00:00,-0.045640614,-1.282411912,1.133166301
HOGDN,2019-06-01 00:00:00,-0.048579842,-3.107534229,3.219058635
HOGDN,2019-06-02 00:00:00,0.005582173,-1.393772734,2.341402951
HOGDN,2019-06-06 00:00:00,0.018654345,-1.825306488,1.571242919
HOGDN,2019-06-08 00:00:00,0.06272916,-6.315066039,5.249427572
HOGDN,2019-06-09 00:00:00,-0.062258796,-0.630328949,0.199953937
HOGDN,2019-06-10 00:00:00,0.031190644,-2.041954274,1.053646467
HOGDN,2019-06-12 00:00:00,0.069179776,-1.165564836,0.623292423
HOGDN,2019-06-13 00:00:00,-0.024358319,-0.689880165,0.096797702
HOGDN,2019-06-15 00:00:00,0.0484753,-3.667735424,1.343302646
HOGDN,2019-06-16 00:00:00,-0.023849928,-2.307529104,1.146260295
HOGDN,2019-06-17 00:00:00,0.126007801,-1.33261974,0.582871361
HOGDN,2019-06-19 00:00:00,0.104629799,0.07997144,0.059096171
HOGDN,2019-06-20 00:00:00,0.025691659,-2.576152912,0.400200577
HOGDN,2019-06-21 00:00:00,0.05554752,-4.948508049,1.200711739
HOGDN,2019-06-22 00:00:00,0.045620843,-4.427191037,1.355170514
HOGDN,2019-06-23 00:00:00,0.013360731,-5.08010866,1.797597911
HOGDN,2019-06-24 00:00:00,0.026664953,-4.723083753,1.957023461
HOGDN,2019-06-25 00:00:00,0.024866681,-5.53254123,2.639725698
HOGDN,2019-06-26 00:00:00,-0.022700087,-4.37869085,2.572626673
HOGDN,2019-06-27 00:00:00,0.033613412,-5.928743015,4.043665414
HOGDN,2019-06-29 00:00:00,0.022663782,-5.931861647,5.424329669
HOGDN,2019-06-30 00:00:00,0.05580217,-6.360958997,6.288991314
HOGDN,2019-07-01 00:00:00,-0.033366837,-5.973430605,6.416010293
HOGDN,2019-07-02 00:00:00,0.05895738,-3.96817525,4.462496824
HOGDN,2019-07-03 00:00:00,-0.017431903,-4.727251864,2.531709313
HOGDN,2019-07-04 00:00:00,0.088148441,-2.476350796,1.146496937
HOGDN,2019-07-05 00:00:00,0.281309089,-1.076577849,0.381840933
HOGDN,2019-07-06 00:00:00,0.179719311,-6.987782345,2.966225441
HOGDN,2019-07-07 00:00:00,0.080331107,-3.843501275,1.976577615
HOGDN,2019-07-08 00:00:00,0.064507752,-5.474129109,3.459949935
